"GENDER","GENERATION","ARTIST","SONG_NAME","ALBUM_NAME","ALBUM_IMG","YOUTUBE"
"여성",50,"정동원","진짜 사나이","사내[MAN]","https://musicmeta-phinf.pstatic.net/album/008/414/8414796.jpg?type=r480","https://www.youtube.com/watch?v=eOAVttpXIpo"
"여성",50,"임영웅","연애편지","IM HERO","https://musicmeta-phinf.pstatic.net/album/007/496/7496759.jpg?type=r480","https://www.youtube.com/watch?v=P2FcQvCbDWg"
"여성",20,"박재범","Candy (Feat. Zion.T)","Candy","https://musicmeta-phinf.pstatic.net/album/009/701/9701772.jpg?type=r480","https://www.youtube.com/watch?v=KeaYXhNf8oM"
"여성",20,"이홍기(FT아일랜드)","한사람만 (2023) (여름날 우리 X 이홍기 (FT아일랜드))","한사람만 (2023) (여름날 우리 X 이홍기 (FT아일랜드))","https://musicmeta-phinf.pstatic.net/album/009/691/9691532.jpg?type=r480","https://www.youtube.com/watch?v=HvDhoKRegq0"
"여성",20,"다니엘(DANIELLE)","저곳으로 (영화 인어공주 한국어 OST)","저곳으로 (영화 인어공주 한국어 OST)","https://musicmeta-phinf.pstatic.net/album/009/689/9689218.jpg?type=r480","https://www.youtube.com/watch?v=O4bzu8Ec9Us"
"여성",30,"박재범","Candy (Feat. Zion.T)","Candy","https://musicmeta-phinf.pstatic.net/album/009/701/9701772.jpg?type=r480","https://www.youtube.com/watch?v=KeaYXhNf8oM"
"여성",30,"미주 (MIJOO)","Movie Star","Movie Star","https://musicmeta-phinf.pstatic.net/album/009/689/9689844.jpg?type=r480","https://www.youtube.com/watch?v=iSUSSjw3RVc"
"여성",50,"정동원, 베이식(Basick)","Alright","구필수는 없다 OST Part 10","https://musicmeta-phinf.pstatic.net/album/007/616/7616238.jpg?type=r480","https://www.youtube.com/watch?v=cFi1jWjfKuM"
"여성",30,"(여자)아이들","퀸카 (Queencard)","I feel","https://musicmeta-phinf.pstatic.net/album/009/637/9637036.jpg?type=r480","https://www.youtube.com/watch?v=7HDeem-JaSY"
"여성",30,"던(DAWN)","빛이 나는 너에게","빛이 나는 너에게","https://musicmeta-phinf.pstatic.net/album/009/481/9481315.jpg?type=r480","https://www.youtube.com/watch?v=yyrKLHNCbq0"
"여성",40,"FIFTY FIFTY","Cupid","The Beginning: Cupid","https://musicmeta-phinf.pstatic.net/album/009/178/9178590.jpg?type=r480","https://www.youtube.com/watch?v=Qc7_zRjH808"
"여성",10,"(여자)아이들","퀸카 (Queencard)","I feel","https://musicmeta-phinf.pstatic.net/album/009/637/9637036.jpg?type=r480","https://www.youtube.com/watch?v=7HDeem-JaSY"
"여성",10,"LE SSERAFIM (르세라핌)","UNFORGIVEN (feat. Nile Rodgers)","UNFORGIVEN","https://musicmeta-phinf.pstatic.net/album/009/615/9615768.jpg?type=r480","https://www.youtube.com/watch?v=Ki5zhg4lUNk"
"여성",10,"aespa","Welcome To MY World (Feat. nævis)","MY WORLD - The 3rd Mini Album","https://musicmeta-phinf.pstatic.net/album/009/620/9620172.jpg?type=r480","https://www.youtube.com/watch?v=0xdB_vo4r2c"
"여성",10,"10CM","부동의 첫사랑","5.4 [부동의 첫사랑]","https://musicmeta-phinf.pstatic.net/album/009/653/9653696.jpg?type=r480","https://www.youtube.com/watch?v=6iZyquKcpzg"
"여성",10,"비투비","나의 바람 (Wind And Wish)","WIND AND WISH","https://musicmeta-phinf.pstatic.net/album/009/619/9619956.jpg?type=r480","https://www.youtube.com/watch?v=zXOoza3sxiw"
"여성",10,"(여자)아이들","Allergy","I feel","https://musicmeta-phinf.pstatic.net/album/009/637/9637036.jpg?type=r480","https://www.youtube.com/watch?v=XZaBkbvteBc"
"여성",10,"장혜진","그날 밤","그날 밤","https://musicmeta-phinf.pstatic.net/album/009/647/9647644.jpg?type=r480","https://www.youtube.com/watch?v=6seoP9YjJLw"
"여성",20,"(여자)아이들","퀸카 (Queencard)","I feel","https://musicmeta-phinf.pstatic.net/album/009/637/9637036.jpg?type=r480","https://www.youtube.com/watch?v=7HDeem-JaSY"
"여성",20,"LE SSERAFIM (르세라핌)","UNFORGIVEN (feat. Nile Rodgers)","UNFORGIVEN","https://musicmeta-phinf.pstatic.net/album/009/615/9615768.jpg?type=r480","https://www.youtube.com/watch?v=Ki5zhg4lUNk"
"여성",20,"비투비","나의 바람 (Wind And Wish)","WIND AND WISH","https://musicmeta-phinf.pstatic.net/album/009/619/9619956.jpg?type=r480","https://www.youtube.com/watch?v=zXOoza3sxiw"
"여성",20,"aespa","Welcome To MY World (Feat. nævis)","MY WORLD - The 3rd Mini Album","https://musicmeta-phinf.pstatic.net/album/009/620/9620172.jpg?type=r480","https://www.youtube.com/watch?v=0xdB_vo4r2c"
"여성",20,"지아","사랑..그게 뭔데","사랑..그게 뭔데","https://musicmeta-phinf.pstatic.net/album/009/647/9647590.jpg?type=r480","https://www.youtube.com/watch?v=RSUVB6jJFDA"
"여성",30,"LE SSERAFIM (르세라핌)","UNFORGIVEN (feat. Nile Rodgers)","UNFORGIVEN","https://musicmeta-phinf.pstatic.net/album/009/615/9615768.jpg?type=r480","https://www.youtube.com/watch?v=Ki5zhg4lUNk"
"여성",30,"세븐틴 (SEVENTEEN)","손오공","SEVENTEEN 10th Mini Album 'FML'","https://musicmeta-phinf.pstatic.net/album/009/554/9554326.jpg?type=r480","https://www.youtube.com/watch?v=-GQg25oP0S4"
