성별,세대,아티스트,곡명,앨범명,앨범이미지,유튜브링크
여성,20,윤종신,좋니,LISTEN 010 좋니,https://musicmeta-phinf.pstatic.net/album/002/067/2067347.jpg,https://www.youtube.com/watch?v=jy_UiIQn_d0
여성,20,김필,다시 사랑한다면 (니글니글 버터플라이),복면가왕 47회,https://musicmeta-phinf.pstatic.net/album/000/619/619549.jpg,https://www.youtube.com/watch?v=YyKSZARBcGo
여성,20,이승기,삭제,나방의 꿈,https://musicmeta-phinf.pstatic.net/album/000/027/27843.jpg,https://www.youtube.com/watch?v=GpUelwfBe-w
여성,20,Lady Gaga,Telephone (Feat. Beyonce),The Fame Monster (International Deluxe),https://musicmeta-phinf.pstatic.net/album/000/165/165175.jpg,https://www.youtube.com/watch?v=EVBsypHzF3U
여성,20,자우림,"스물다섯, 스물하나","Goodbye, grief.",https://musicmeta-phinf.pstatic.net/album/000/398/398547.jpg,https://www.youtube.com/watch?v=AizDJNhLW5s
여성,20,멜로망스(Melomance),사랑인가 봐,사랑인가 봐 (사내맞선 OST 스페셜 트랙),https://musicmeta-phinf.pstatic.net/album/007/226/7226704.jpg,https://www.youtube.com/watch?v=pTe9aJHEF_o
여성,20,탑현,호랑수월가,호랑수월가,https://musicmeta-phinf.pstatic.net/album/006/898/6898111.jpg,https://www.youtube.com/watch?v=D92O5JT3E8A
여성,20,KCM,흑백사진,Beautiful Mind,https://musicmeta-phinf.pstatic.net/album/000/028/28343.jpg,https://www.youtube.com/watch?v=mZsMYFVasCg
여성,20,조정석,아로하,슬기로운 의사생활 OST Part 3,https://musicmeta-phinf.pstatic.net/album/004/498/4498641.jpg,https://www.youtube.com/watch?v=3DOkxQ3HDXE
여성,20,버즈,가시,Buzz Effect,https://musicmeta-phinf.pstatic.net/album/000/031/31566.jpg,https://www.youtube.com/watch?v=1-Lm2LUR8Ss
여성,20,10CM,스토커,3.0,https://musicmeta-phinf.pstatic.net/album/000/463/463624.jpg,https://www.youtube.com/watch?v=x7l0kLFN6Oc
여성,20,빅마마,체념,Like The Bible,https://musicmeta-phinf.pstatic.net/album/000/002/2974.jpg,https://www.youtube.com/watch?v=XqWQzZESCYw
여성,20,마크툽(Maktub),찰나가 영원이 될 때 (The Eternal Moment),Red Moon : Beyond The Light,https://musicmeta-phinf.pstatic.net/album/006/424/6424449.jpg,https://www.youtube.com/watch?v=tL7HKKEoW1Y
여성,20,엠씨더맥스(M.C the MAX),어디에도,pathos,https://musicmeta-phinf.pstatic.net/album/000/614/614753.jpg,https://www.youtube.com/watch?v=va5rf20Un24
여성,20,Adele,Hello,25,https://musicmeta-phinf.pstatic.net/album/000/599/599714.jpg,https://www.youtube.com/watch?v=YQHsXMglC9A
여성,20,Taylor Swift,Shake It Off,1989 (Deluxe),https://musicmeta-phinf.pstatic.net/album/000/460/460602.jpg,https://www.youtube.com/watch?v=nfWlot6h_JM
여성,20,Shakira,Can't Remember To Forget You (Feat. Rihanna),Can't Remember To Forget You,https://musicmeta-phinf.pstatic.net/album/000/412/412319.jpg,https://www.youtube.com/watch?v=o3mP3mJDL2k
여성,20,Christina Aguilera,Genie In A Bottle,Christina Aguilera,https://musicmeta-phinf.pstatic.net/album/000/004/4597.jpg,https://www.youtube.com/watch?v=kIDWgqDBNXA
여성,20,KCM,천국의 계단,Love Affair,https://musicmeta-phinf.pstatic.net/album/000/037/37158.jpg,https://www.youtube.com/watch?v=1XbweOcmE-Q
여성,20,윤하,사건의 지평선,YOUNHA 6th Album Repackage 'END THEORY : Final Edition',https://musicmeta-phinf.pstatic.net/album/007/434/7434553.jpg,https://www.youtube.com/watch?v=BBdC1rl5sKY
